Mon, Item, Move 1, Move 2, Move 3, Move 4, Nature, Hp, Atk, Def, SpAtk, SpDef, Spd
Donphan,Maranga Berry,Earthquake,Gyro Ball,Fire Fang,Thunder Fang,Brave,0,252,252,0,0,0
Donphan,Quick Claw,Earthquake,Stone Edge,Seed Bomb,Fissure,Adamant,0,252,0,0,252,0
Porygon2,Sitrus Berry,Blizzard,Magic Coat,Lock-On,Zap Cannon,Modest,252,0,0,252,0,0
Porygon2,Petaya Berry,Tri Attack,Psychic,Recycle,Recover,Calm,170,0,170,0,170,0
Porygon2,Choice Specs,Tri Attack,Thunderbolt,Psychic,Ice Beam,Modest,252,0,0,252,0,0
Porygon2,Lum Berry,Tri Attack,Thunder Wave,Shadow Ball,Ice Beam,Modest,252,0,0,252,0,0
Miltank,Lum Berry,Body Slam,Helping Hand,Milk Drink,Heal Bell,Jolly,252,0,0,0,0,252
Miltank,Razor Fang,Body Slam,Fling,Brick Break,Captivate,Naive,0,252,0,0,0,252
Miltank,Scope Lens,Dizzy Punch,Fire Punch,Thunder Punch,Ice Punch,Adamant,0,252,252,0,0,0
Miltank,Salac Berry,Substitute,Earthquake,Rock Slide,Zen Headbutt,Jolly,0,252,0,0,0,252
Blissey,Leftovers,Attract,Round,Heal Pulse,Aromatherapy,Calm,0,0,252,0,252,0
Blissey,Custap Berry,Charge Beam,Shadow Ball,Grass Knot,Thunder Wave,Modest,0,0,252,252,0,0
Blissey,Leftovers,Thunderbolt,Ice Beam,Counter,Calm Mind,Bold,252,0,252,0,0,0
Blissey,Chople Berry,Toxic,Minimize,Mud Bomb,Soft-Boiled,Bold,0,0,252,0,252,0
Raikou,Shuca Berry,Thunderbolt,Volt Switch,Shadow Ball,Extrasensory,Timid,0,0,0,252,0,252
Raikou,Leftovers,Charge Beam,Magnet Rise,Calm Mind,Shadow Ball,Timid,0,0,252,0,0,252
Raikou,Air Balloon,Thunderbolt,Volt Switch,Shadow Ball,Protect,Timid,0,0,0,252,0,252
Raikou,Air Balloon,Thunder,Discharge,Reflect,Extrasensory,Timid,0,0,0,252,0,252
Entei,Focus Sash,Overheat,Flame Charge,Fire Fang,Stone Edge,Lonely,0,252,0,0,0,252
Entei,Chesto Berry,Calm Mind,Will-O-Wisp,Flamethrower,Rest,Bold,170,0,170,0,170,0
Entei,Choice Scarf,Eruption,Heat Wave,Extrasensory,Solar Beam,Timid,0,0,0,252,0,252
Entei,Life Orb,Sacred Fire,Iron Head,Stone Edge,Protect,Adamant,252,252,0,0,0,0
Suicune,Chesto Berry,Calm Mind,Surf,Ice Beam,Rest,Bold,252,0,252,0,0,0
Suicune,Sitrus Berry,Hydro Pump,Ice Beam,Shadow Ball,Mirror Coat,Modest,252,0,0,252,0,0
Suicune,Leftovers,Surf,Blizzard,Calm Mind,Protect,Bold,252,0,252,0,0,0
Suicune,Lum Berry,Icy Wind,Surf,Blizzard,Protect,Timid,0,0,0,252,0,252
Tyranitar,Iron Ball,Rock Slide,Stealth Rock,Thunder Wave,Fling,Impish,252,0,0,0,252,0
Tyranitar,King's Rock,Rock Slide,Crunch,Ice Beam,Dragon Dance,Hasty,0,252,0,0,0,252
Tyranitar,Chople Berry,Stone Edge,Crunch,Earthquake,Dragon Dance,Jolly,0,252,0,0,0,252
Tyranitar,Focus Sash,Rock Slide,Earthquake,Superpower,Dragon Tail,Brave,252,252,0,0,0,0
Sceptile,Focus Sash,Quick Attack,Endeavor,Detect,Leaf Storm,Timid,0,0,0,252,0,252
Sceptile,Scope Lens,Leaf Blade,Night Slash,Earthquake,Swords Dance,Hasty,0,252,0,0,0,252
Sceptile,White Herb,Leaf Storm,Dragon Pulse,Energy Ball,Detect,Timid,0,0,0,252,0,252
Sceptile,Leftovers,Leech Seed,Endeavor,Energy Ball,Toxic,Calm,0,0,252,0,252,0
Blaziken,Salac Berry,High Jump Kick,Counter,Flamethrower,Will-O-Wisp,Naughty,170,0,170,0,0,170
Blaziken,Salac Berry,Blaze Kick,Flame Charge,Endure,Reversal,Adamant,170,170,0,0,0,170
Blaziken,Choice Band,Flare Blitz,Shadow Claw,Thunder Punch,Earthquake,Hardy,0,252,0,0,0,252
Blaziken,Shuca Berry,Flame Charge,Flare Blitz,Thunder Punch,Low Kick,Hardy,0,252,0,0,0,252
Swampert,Jaboca Berry,Mirror Coat,Counter,Earthquake,Roar,Sassy,0,0,252,0,252,0
Swampert,Chesto Berry,Waterfall,Hammer Arm,Rest,Curse,Careful,252,0,0,0,252,0
Swampert,Maranga Berry,Earthquake,Avalanche,Waterfall,Stone Edge,Adamant,252,252,0,0,0,0
Swampert,Chesto Berry,Curse,Rest,Earthquake,Waterfall,Careful,252,0,0,0,252,0
Ludicolo,Leftovers,Leech Seed,Toxic,Giga Drain,Rain Dance,Lax,170,0,170,170,0,0
Ludicolo,Tanga Berry,Fake Out,Grass Knot,Surf,Tickle,Naughty,170,170,0,170,0,0
Ludicolo,Leftovers,Rain Dance,Leech Seed,Protect,Giga Drain,Bold,0,0,170,170,170,0
Ludicolo,Kee Berry,Fake Out,Hydro Pump,Leech Seed,Grass Knot,Modest,0,0,0,252,0,252
Shiftry,Iron Ball,Fling,Razor Leaf,Brick Break,Swords Dance,Brave,170,170,0,0,170,0
Shiftry,Miracle Seed,Fake Out,Extrasensory,Solar Beam,Swagger,Rash,0,0,0,252,0,252
Shiftry,Heat Rock,Sunny Day,Solar Beam,Dark Pulse,Explosion,Hardy,0,0,252,252,0,0
Shiftry,Focus Sash,Fake Out,Sucker Punch,Low Kick,Protect,Adamant,0,252,252,0,0,0
Gardevoir,Wide Lens,Hypnosis,Dream Eater,Imprison,Dazzling Gleam,Timid,252,0,0,0,0,252
Gardevoir,Bright Powder,Stored Power,Thunderbolt,Calm Mind,Double Team,Timid,0,0,0,252,0,252
Gardevoir,Lum Berry,Psychic,Shadow Ball,Energy Ball,Dazzling Gleam,Timid,0,0,0,252,0,252
Gardevoir,Babiri Berry,Psychic,Moonblast,Focus Blast,Thunderbolt,Modest,0,0,0,252,0,252
Breloom,Black Belt,Fake Tears,Helping Hand,Mach Punch,Stun Spore,Brave,252,252,0,0,0,0
Breloom,Toxic Orb,Substitute,Seed Bomb,Wake-Up Slap,Spore,Jolly,0,252,0,0,0,252
Breloom,Focus Sash,Spore,Focus Punch,Rock Slide,Seed Bomb,Jolly,0,252,0,0,0,252
Breloom,Toxic Orb,Protect,Leech Seed,Substitute,Focus Punch,Careful,170,0,170,0,170,0
Slaking,Chople Berry,Earthquake,Brick Break,Rock Slide,Encore,Naive,0,252,0,0,0,252
Slaking,Kee Berry,Retaliate,Night Slash,Slack Off,Amnesia,Jolly,0,252,0,0,0,252
Slaking,Choice Band,Giga Impact,Shadow Claw,Hammer Arm,Earthquake,Adamant,252,252,0,0,0,0
Slaking,Life Orb,Return,Night Slash,Gunk Shot,Aerial Ace,Jolly,0,252,0,0,0,252
Exploud,Chople Berry,Fire Blast,Roar,Uproar,Hyper Voice,Modest,0,0,252,252,0,0
Exploud,Chople Berry,Crunch,Fake Tears,Ice Beam,Giga Impact,Lonely,0,252,0,252,0,0
Exploud,Expert Belt,Earthquake,Brick Break,Ice Punch,Crunch,Adamant,0,252,252,0,0,0
Exploud,Life Orb,Icy Wind,Hyper Voice,Focus Blast,Shadow Ball,Timid,0,0,0,252,0,252
Hariyama,King's Rock,Feint,Fake Out,Smack Down,Vital Throw,Brave,0,170,170,0,170,0
Hariyama,Custap Berry,Reversal,Bullet Punch,Protect,Belly Drum,Careful,0,0,252,0,252,0
Hariyama,Flame Orb,Fake Out,Close Combat,Detect,Earthquake,Brave,0,252,252,0,0,0
Hariyama,Sitrus Berry,Belly Drum,Brick Break,Ice Punch,Bullet Punch,Careful,0,0,252,0,252,0
Aggron,Focus Sash,Protect,Roar,Stealth Rock,Metal Burst,Impish,252,0,0,0,252,0
Aggron,King's Rock,Surf,Flash Cannon,Focus Blast,Round,Quiet,0,0,252,252,0,0
Aggron,Wide Lens,Iron Tail,Dragon Rush,Avalanche,Stone Edge,Adamant,0,252,252,0,0,0
Aggron,Shuca Berry,Metal Burst,Taunt,Earthquake,Shadow Claw,Brave,0,252,0,0,252,0
Medicham,Black Belt,Fake Out,High Jump Kick,Bulk Up,Feint,Impish,252,0,0,0,0,252
Medicham,TwistedSpoon,Psychic,Shadow Ball,Energy Ball,Calm Mind,Timid,0,0,0,252,0,252
Medicham,Expert Belt,High Jump Kick,Zen Headbutt,Ice Punch,Bullet Punch,Jolly,0,252,0,0,0,252
Medicham,Life Orb,High Jump Kick,Psycho Cut,Fake Out,Detect,Adamant,0,252,0,0,0,252
Manectric,Life Orb,Crunch,Odor Sleuth,Quick Attack,Wild Charge,Adamant,0,252,0,0,0,252
Manectric,Charcoal,Flamethrower,Overheat,Discharge,Charge,Modest,0,0,0,252,0,252
Manectric,Air Balloon,Thunderbolt,Overheat,Volt Switch,Quick Attack,Timid,0,0,0,252,0,252
Manectric,Choice Scarf,Switcheroo,Thunder,Volt Switch,Overheat,Timid,0,0,0,252,0,252
Wailord,Chesto Berry,Waterfall,Heavy Slam,Curse,Rest,Brave,0,170,170,0,170,0
Wailord,Quick Claw,Water Spout,Rest,Sleep Talk,Ice Beam,Timid,0,0,0,252,0,252
Wailord,Leftovers,Waterfall,Avalanche,Aqua Ring,Curse,Careful,0,0,252,0,252,0
Wailord,Zoom Lens,Hydro Pump,Blizzard,Fissure,Hyper Beam,Modest,252,0,0,252,0,0
Flygon,Weakness Policy,Earthquake,Dragon Claw,Endure,Fire Blast,Naive,0,252,0,0,0,252
Flygon,Haban Berry,Swagger,Quick Attack,Rock Slide,U-turn,Naive,0,252,0,0,0,252
Flygon,White Herb,Draco Meteor,Earth Power,Flamethrower,Giga Drain,Timid,0,0,0,252,0,252
Flygon,Lum Berry,Earthquake,Outrage,Crunch,Stone Edge,Adamant,0,252,0,0,0,252
Altaria,Sitrus Berry,Flamethrower,Cotton Guard,Dragon Pulse,Roost,Calm,252,0,0,0,252,0
Altaria,Snowball,Dragon Claw,Pluck,Steel Wing,Dragon Dance,Lonely,0,252,0,0,0,252
Altaria,Power Herb,Dragon Dance,Dragon Rush,Sky Attack,Earthquake,Jolly,0,252,0,0,0,252
Altaria,Wide Lens,Cotton Guard,Sing,Moonblast,Dream Eater,Calm,252,0,0,0,252,0
Whiscash,Chesto Berry,Earthquake,Tickle,Amnesia,Rest,Careful,0,252,0,0,252,0
Whiscash,Soft Sand,Aqua Tail,Earthquake,Zen Headbutt,Dragon Dance,Adamant,170,170,170,0,0,0
Whiscash,Expert Belt,Earth Power,Surf,Blizzard,Protect,Modest,0,0,0,252,252,0
Whiscash,Leftovers,Rest,Sleep Talk,Fissure,Muddy Water,Calm,170,0,170,0,170,0
Claydol,Absorb Bulb,Psychic,Ice Beam,Protect,Calm Mind,Calm,252,0,0,0,252,0
Claydol,Sitrus Berry,Sandstorm,Toxic,Cosmic Power,Explosion,Impish,252,0,252,0,0,0
Claydol,Luminous Moss,Earth Power,Psychic,Ally Switch,Ice Beam,Modest,0,0,0,252,252,0
Claydol,Custap Berry,Earthquake,Zen Headbutt,Rock Slide,Explosion,Adamant,0,252,0,0,252,0
Cradily,Tanga Berry,Round,Gastro Acid,Stockpile,Swallow,Bold,0,0,252,0,252,0
Cradily,Quick Claw,Confuse Ray,Energy Ball,Stone Edge,Earthquake,Brave,170,170,0,170,0,0
Cradily,Leftovers,Sandstorm,Toxic,Protect,Earthquake,Relaxed,252,0,252,0,0,0
Cradily,Big Root,Stockpile,Protect,Ingrain,Giga Drain,Sassy,252,0,252,0,0,0
Armaldo,Chesto Berry,X-Scissor,Rock Blast,Rest,Curse,Brave,252,0,0,0,252,0
Armaldo,Razor Fang,Rock Slide,Earthquake,X-Scissor,Rock Polish,Hasty,252,0,0,0,0,252
Armaldo,Life Orb,X-Scissor,Rock Slide,Earthquake,Iron Defense,Adamant,252,0,0,0,252,0
Armaldo,Choice Band,Superpower,Stone Edge,Earthquake,X-Scissor,Adamant,252,252,0,0,0,0
Milotic,Enigma Berry,Surf,Recover,Mirror Coat,Confuse Ray,Bold,252,0,252,0,0,0
Milotic,Leftovers,Hydro Pump,Toxic,Attract,Aqua Ring,Quiet,252,0,252,0,0,0
Milotic,Wide Lens,Hydro Pump,Blizzard,Mirror Coat,Recover,Calm,0,0,0,252,252,0
Milotic,Leftovers,Ice Beam,Rest,Sleep Talk,Surf,Impish,252,0,0,0,252,0
Absol,Sitrus Berry,Payback,Mean Look,Hone Claws,Baton Pass,Careful,170,0,170,0,170,0
Absol,Chople Berry,Sucker Punch,Magic Coat,Psycho Cut,Taunt,Adamant,252,252,0,0,0,0
Absol,Scope Lens,Night Slash,Zen Headbutt,Sucker Punch,Superpower,Jolly,0,252,0,0,0,252
Absol,Bright Powder,Substitute,Swagger,Punishment,Will-O-Wisp,Jolly,0,252,0,0,0,252
Walrein,Chesto Berry,Frost Breath,Snore,Stockpile,Rest,Calm,0,0,252,0,252,0
Walrein,Metronome,Ice Ball,Earthquake,Encore,Curse,Calm,0,252,0,0,252,0
Walrein,Leftovers,Surf,Blizzard,Hail,Signal Beam,Modest,252,0,0,252,0,0
Walrein,Lax Incense,Sheer Cold,Fissure,Rest,Sleep Talk,Bold,0,0,252,0,252,0
Salamence,Yache Berry,Roost,Scary Face,Dragon Tail,Earthquake,Naughty,0,170,170,0,170,0
Salamence,Expert Belt,Dragon Claw,Zen Headbutt,Rock Slide,Dragon Dance,Lonely,0,170,0,0,170,170
Salamence,Yache Berry,Draco Meteor,Dragon Rush,Earthquake,Brick Break,Jolly,0,252,0,0,0,252
Salamence,Lum Berry,Outrage,Crunch,Earthquake,Zen Headbutt,Jolly,0,252,0,0,0,252
Metagross,Occa Berry,Meteor Mash,Magnet Rise,Zen Headbutt,Agility,Naive,0,252,0,0,0,252
Metagross,Occa Berry,Psychic,Shadow Ball,Meteor Mash,Magnet Rise,Quiet,170,170,0,170,0,0
Metagross,Occa Berry,Earthquake,Meteor Mash,Bullet Punch,Explosion,Adamant,170,170,0,0,170,0
Metagross,Toxic Orb,Trick,Meteor Mash,Protect,Earthquake,Careful,252,0,0,0,252,0
Regirock,Leftovers,Sandstorm,Curse,Rock Slide,Drain Punch,Careful,252,0,0,0,252,0
Regirock,Custap Berry,Stone Edge,Drain Punch,Earthquake,Explosion,Adamant,252,252,0,0,0,0
Regirock,Luminous Moss,Ice Punch,Rock Slide,Drain Punch,Earthquake,Adamant,252,252,0,0,0,0
Regirock,Sitrus Berry,Rock Polish,Rock Slide,Superpower,Explosion,Jolly,0,252,0,0,0,252
Regice,Sitrus Berry,Thunderbolt,Ice Beam,Focus Blast,Toxic,Modest,252,0,0,252,0,0
Regice,Chesto Berry,Thunderbolt,Icy Wind,Ice Beam,Rest,Timid,170,0,170,0,0,170
Regice,Leftovers,Charge Beam,Ice Beam,Amnesia,Protect,Bold,252,0,252,0,0,0
Regice,Zoom Lens,Thunder,Blizzard,Focus Blast,Thunder Wave,Impish,252,0,0,0,252,0
Registeel,Chesto Berry,Curse,Amnesia,Iron Head,Rest,Careful,252,0,0,0,252,0
Registeel,King's Rock,Rock Polish,Earthquake,Iron Head,Thunder Punch,Jolly,0,252,0,0,0,252
Registeel,Leftovers,Amnesia,Iron Defense,Charge Beam,Flash Cannon,Bold,252,0,0,0,252,0
Registeel,Leftovers,Toxic,Double Team,Earthquake,Protect,Adamant,252,252,0,0,0,0
Latias,Lax Incense,Calm Mind,Mist Ball,Dragon Pulse,Recover,Bold,252,0,252,0,0,0
Latias,White Herb,Draco Meteor,Thunder,Psychic,Mist Ball,Timid,0,0,0,252,0,252
Latias,Choice Specs,Draco Meteor,Thunderbolt,Psychic,Trick,Timid,0,0,0,252,0,252
Latias,Life Orb,Draco Meteor,Earthquake,Hone Claws,Dragon Claw,Adamant,0,252,0,0,0,252
Latios,Lax Incense,Calm Mind,Luster Purge,Dragon Pulse,Recover,Bold,252,0,252,0,0,0
Latios,White Herb,Draco Meteor,Thunderbolt,Psychic,Protect,Timid,0,0,0,252,0,252
Latios,Choice Specs,Draco Meteor,Thunder,Psychic,Energy Ball,Timid,0,0,0,252,0,252
Latios,Life Orb,Draco Meteor,Earthquake,Dragon Dance,Outrage,Adamant,0,252,0,0,0,252
Torterra,Binding Band,Sand Tomb,Seed Bomb,Curse,Synthesis,Adamant,252,252,0,0,0,0
Torterra,Choice Scarf,Rock Slide,Earthquake,Wood Hammer,Tickle,Jolly,0,252,0,0,0,252
Torterra,Custap Berry,Earthquake,Crunch,Seed Bomb,Iron Head,Adamant,0,252,0,0,252,0
Torterra,Leftovers,Stockpile,Leech Seed,Earthquake,Protect,Hardy,252,0,0,0,252,0
Infernape,King's Rock,Fake Out,Encore,Fling,Acrobatics,Jolly,0,252,0,0,0,252
Infernape,Charcoal,Heat Wave,Will-O-Wisp,Grass Knot,Calm Mind,Mild,170,0,0,170,0,170
Infernape,Life Orb,Fake Out,Close Combat,Overheat,Stone Edge,Hasty,0,252,0,0,0,252
Infernape,Focus Sash,Fake Out,Encore,Flare Blitz,Close Combat,Jolly,0,252,0,0,0,252
Empoleon,Sitrus Berry,Yawn,Swords Dance,Aqua Jet,Metal Claw,Lax,252,0,252,0,0,0
Empoleon,Muscle Band,Drill Peck,Aqua Jet,Metal Claw,Feather Dance,Lonely,170,170,0,0,170,0
Empoleon,Lum Berry,Surf,Ice Beam,Signal Beam,Icy Wind,Quiet,252,0,0,252,0,0
Empoleon,Petaya Berry,Surf,Substitute,Blizzard,Whirlpool,Calm,252,0,0,252,0,0
Staraptor,Focus Sash,U-turn,Feather Dance,Quick Attack,Endeavor,Hasty,0,252,0,0,0,252
Staraptor,Choice Scarf,Pursuit,Close Combat,Roost,Final Gambit,Adamant,252,0,0,0,0,252
Staraptor,Choice Band,Close Combat,Brave Bird,U-turn,Giga Impact,Mild,0,252,0,0,0,252
Staraptor,Sitrus Berry,Brave Bird,Double-Edge,Roost,Feather Dance,Jolly,0,252,0,0,0,252
Luxray,Magnet,Wild Charge,Crunch,Captivate,Swagger,Lonely,0,252,0,0,252,0
Luxray,Quick Claw,Charge Beam,Helping Hand,Discharge,Roar,Careful,252,0,0,0,252,0
Luxray,White Herb,Thunder Fang,Ice Fang,Superpower,Thunder Wave,Adamant,252,252,0,0,0,0
Luxray,Air Balloon,Thunder Fang,Ice Fang,Light Screen,Thunder Wave,Careful,252,0,0,0,252,0
Roserade,Big Root,Toxic,Leech Seed,Protect,Giga Drain,Calm,252,0,252,0,0,0
Roserade,Occa Berry,Weather Ball,Energy Ball,Natural Gift,Attract,Modest,0,0,0,252,0,252
Roserade,White Herb,Leaf Storm,Sludge Bomb,Hyper Beam,Grass Whistle,Timid,0,0,0,252,0,252
Roserade,Black Sludge,Toxic,Protect,Leech Seed,Giga Drain,Bold,252,0,252,0,0,0
Rampardos,Passho Berry,Rock Slide,Crunch,Curse,Protect,Brave,0,170,170,0,170,0
Rampardos,Sitrus Berry,Head Smash,Stone Edge,Hammer Arm,Scary Face,Naughty,0,252,0,0,0,252
Rampardos,Choice Scarf,Head Smash,Earthquake,Brick Break,Thunder Punch,Jolly,0,252,0,0,0,252
Rampardos,Sitrus Berry,Head Smash,Earthquake,Rock Slide,Protect,Relaxed,0,252,0,0,252,0
Bastiodon,Enigma Berry,Iron Head,Taunt,Wide Guard,Metal Burst,Careful,252,252,0,0,0,0
Bastiodon,Chesto Berry,Round,Rest,Ancient Power,Iron Defense,Bold,0,0,252,252,0,0
Bastiodon,Leftovers,Stone Edge,Fissure,Double Team,Iron Defense,Careful,252,0,0,0,252,0
Bastiodon,Sitrus Berry,Metal Burst,Rock Slide,Wide Guard,Curse,Brave,252,252,0,0,0,0
Vespiquen,Quick Claw,Defend Order,Toxic,Protect,Heal Order,Sassy,170,0,170,0,170,0
Vespiquen,Insect Plate,Attack Order,Power Gem,Captivate,Confuse Ray,Quiet,252,0,0,252,0,0
Vespiquen,Sitrus Berry,Attack Order,Defend Order,Roost,Confuse Ray,Impish,170,0,170,0,170,0
Vespiquen,Custap Berry,Attack Order,U-turn,Aerial Ace,Destiny Bond,Brave,252,252,0,0,0,0
Floatzel,Binding Band,Aqua Tail,Protect,Pursuit,Whirlpool,Naive,0,252,0,0,0,252
Floatzel,Flame Orb,Aqua Jet,Switcheroo,Pursuit,Crunch,Hasty,0,252,0,0,0,252
Floatzel,Damp Rock,Surf,Ice Beam,Focus Blast,Rain Dance,Hasty,0,0,0,252,0,252
Floatzel,Life Orb,Waterfall,Aqua Jet,Low Kick,Protect,Hasty,0,252,0,0,0,252
Gastrodon,Damp Rock,Rain Dance,Sludge Bomb,Muddy Water,Counter,Gentle,0,0,0,252,252,0
Gastrodon,Rindo Berry,Waterfall,Amnesia,Curse,Yawn,Careful,0,170,170,0,170,0
Gastrodon,Leftovers,Sandstorm,Earth Power,Surf,Recover,Quiet,0,0,252,252,0,0
Gastrodon,Leftovers,Amnesia,Curse,Earthquake,Waterfall,Bold,0,0,252,0,252,0
Ambipom,King's Rock,Fake Out,Fling,Thief,U-turn,Naive,0,252,0,0,0,252
Ambipom,Focus Sash,Grass Knot,Thunderbolt,Nasty Plot,Counter,Timid,0,0,0,252,0,252
Ambipom,Life Orb,Fake Out,Double Hit,Payback,Brick Break,Jolly,0,252,0,0,0,252
Ambipom,King's Rock,Fling,Taunt,Return,Payback,Jolly,0,252,0,0,0,252
Drifblim,Salac Berry,Calm Mind,Stockpile,Ominous Wind,Baton Pass,Bold,0,0,252,0,252,0
Drifblim,Wide Lens,Hex,Thunderbolt,Dream Eater,Hypnosis,Mild,0,0,0,252,0,252
Drifblim,Wise Glasses,Shadow Ball,Thunderbolt,Icy Wind,Destiny Bond,Timid,0,0,252,0,0,252
Drifblim,Custap Berry,Shadow Ball,Thunderbolt,Hypnosis,Destiny Bond,Bold,0,0,0,0,252,252
Lopunny,Toxic Orb,Fake Out,Encore,Fling,Dizzy Punch,Naive,252,0,0,0,0,252
Lopunny,Liechi Berry,Charm,Focus Punch,Substitute,Thunder Punch,Jolly,0,252,0,0,0,252
Lopunny,Chople Berry,Encore,Fake Out,Focus Punch,Mirror Coat,Jolly,252,0,0,0,0,252
Lopunny,Flame Orb,Switcheroo,Mirror Coat,Protect,Dig,Jolly,252,0,0,0,0,252
Mismagius,Colbur Berry,Taunt,Protect,Imprison,Shadow Ball,Naive,252,0,0,0,0,252
Mismagius,Kasib Berry,Shadow Ball,Wonder Room,Grudge,Pain Split,Timid,252,0,0,0,252,0
Mismagius,Sitrus Berry,Icy Wind,Shadow Ball,Thunderbolt,Destiny Bond,Timid,0,0,0,252,0,252
Mismagius,Bright Powder,Power Gem,Protect,Perish Song,Mean Look,Bold,252,0,252,0,0,0
Honchkrow,Kee Berry,Psychic,Dark Pulse,Protect,Nasty Plot,Quiet,0,0,170,170,170,0
Honchkrow,Black Glasses,Sucker Punch,Taunt,Pursuit,Protect,Brave,0,252,0,0,252,0
Honchkrow,Life Orb,Air Cutter,Dark Pulse,Snatch,Shadow Ball,Modest,252,0,0,252,0,0
Honchkrow,Life Orb,Night Slash,Drill Peck,Sucker Punch,Thunder Wave,Adamant,252,252,0,0,0,0
Skuntank,Shuca Berry,Flamethrower,Night Slash,Incinerate,Memento,Naughty,0,252,0,0,0,252
Skuntank,Poison Barb,Pursuit,Foul Play,Poison Jab,Taunt,Adamant,0,252,0,0,0,252
Skuntank,Life Orb,Taunt,Sucker Punch,Foul Play,Poison Jab,Jolly,0,252,0,0,0,252
Skuntank,Custap Berry,Night Slash,Poison Jab,Fire Blast,Explosion,Brave,0,170,170,0,170,0
Bronzong,Sitrus Berry,Hypnosis,Rain Dance,Gyro Ball,Trick Room,Impish,170,0,170,0,170,0
Bronzong,Damp Rock,Rain Dance,Light Screen,Charge Beam,Grass Knot,Quiet,252,0,0,252,0,0
Bronzong,Quick Claw,Iron Head,Zen Headbutt,Earthquake,Explosion,Adamant,252,252,0,0,0,0
Bronzong,Lum Berry,Safeguard,Rock Slide,Zen Headbutt,Trick Room,Brave,252,252,0,0,0,0
Spiritomb,Sitrus Berry,Sucker Punch,Pain Split,Toxic,Grudge,Calm,252,0,0,0,252,0
Spiritomb,Quick Claw,Shadow Sneak,Sucker Punch,Will-O-Wisp,Taunt,Brave,252,252,0,0,0,0
Spiritomb,Leftovers,Will-O-Wisp,Shadow Sneak,Swagger,Psych Up,Careful,252,0,0,0,252,0
Spiritomb,Custap Berry,Will-O-Wisp,Sucker Punch,Substitute,Pain Split,Careful,252,0,0,0,252,0
Garchomp,Lax Incense,Earthquake,Protect,Sandstorm,Sand Tomb,Jolly,252,0,0,0,0,252
Garchomp,Snowball,Fire Blast,Earth Power,Surf,Sandstorm,Hasty,0,0,0,252,0,252
Garchomp,Choice Scarf,Outrage,Earthquake,Fire Fang,Crunch,Adamant,0,252,0,0,0,252
Garchomp,Focus Sash,Swords Dance,Stone Edge,Earthquake,Dragon Claw,Jolly,0,252,0,0,0,252
Lucario,Black Belt,Metal Sound,Dark Pulse,Aura Sphere,Heal Pulse,Modest,0,0,0,252,0,252
Lucario,Focus Sash,Close Combat,Hone Claws,Endure,Reversal,Jolly,0,252,0,0,0,252
Lucario,Muscle Band,Close Combat,Earthquake,Blaze Kick,Shadow Claw,Jolly,0,252,0,0,0,252
Lucario,Weakness Policy,Aura Sphere,Dragon Pulse,Stone Edge,Extreme Speed,Hardy,0,170,0,170,0,170
Hippowdon,Soft Sand,Earthquake,Crunch,Yawn,Whirlwind,Impish,0,252,252,0,0,0
Hippowdon,Sitrus Berry,Crunch,Rock Slide,Protect,Curse,Lonely,252,252,0,0,0,0
Hippowdon,Sitrus Berry,Earthquake,Crunch,Slack Off,Yawn,Adamant,0,252,0,0,252,0
Hippowdon,Chesto Berry,Curse,Rest,Earthquake,Crunch,Sassy,252,0,0,0,252,0
Drapion,Scope Lens,Night Slash,Taunt,Toxic Spikes,X-Scissor,Bold,252,0,252,0,0,0
Drapion,Shuca Berry,Cross Poison,Crunch,Scary Face,Screech,Naive,0,252,0,0,0,252
Drapion,Scope Lens,Cross Poison,Night Slash,Fire Fang,Earthquake,Jolly,0,252,0,0,0,252
Drapion,Razor Claw,Cross Poison,Night Slash,Earthquake,Swords Dance,Careful,252,252,0,0,0,0
Toxicroak,Payapa Berry,Fake Out,Brick Break,Sucker Punch,Taunt,Lonely,0,252,0,0,0,252
Toxicroak,Petaya Berry,Focus Blast,Sludge Bomb,Substitute,Protect,Modest,0,0,0,252,0,252
Toxicroak,Focus Sash,Sludge Bomb,Focus Blast,Shadow Ball,Dark Pulse,Modest,0,0,0,252,0,252
Toxicroak,Wide Lens,Cross Chop,Sucker Punch,Gunk Shot,Taunt,Adamant,0,252,0,0,0,252
Abomasnow,Leftovers,Frost Breath,Icy Wind,Leech Seed,Ingrain,Impish,170,0,170,0,170,0
Abomasnow,Miracle Seed,Wood Hammer,Brick Break,Double Team,Blizzard,Lonely,170,170,0,170,0,0
Abomasnow,Focus Sash,Blizzard,Wood Hammer,Focus Blast,Ice Shard,Quiet,252,0,0,252,0,0
Abomasnow,Occa Berry,Blizzard,Focus Blast,Protect,Ice Shard,Quiet,252,0,0,252,0,0
Weavile,Razor Fang,Fake Out,Taunt,Night Slash,Fling,Hasty,0,252,0,0,0,252
Weavile,Never-Melt Ice,Ice Shard,Ice Punch,Torment,Protect,Jolly,0,252,0,0,0,252
Weavile,Focus Sash,Fake Out,Ice Punch,Night Slash,Protect,Jolly,0,252,0,0,0,252
Weavile,Focus Sash,Taunt,Ice Punch,Night Slash,Fake Out,Jolly,0,252,0,0,0,252
Magnezone,Magnet,Metal Sound,Flash Cannon,Thunderbolt,Magnet Rise,Rash,252,0,0,252,0,0
